Pointing RA(Hrs Min Sec),Pointing Dec(Deg Min Sec),pos_x(Km),pos_y(Km),pos_z(Km),vel_x(Km/s),vel_y(Km/s),vel_z(Km/s),DateTime,Spacecraft Roll(Deg),quat0,quat1,quat2,quat3
22 48 11.6,-5 52 24.0,4315.9713434563,-5286.16320416626,2174.28470705161,0.523446724768213,-2.47888114256516,-7.01513263764,2017-10-11T06:36:50.054,-43.15608,-0.355363667,0.1043138131,-0.1262848675,0.9202648666
22 48 15.7,-5 48 0.6,4344.41188085267,-5531.90493090326,1353.53129337853,-0.0180567244036501,-1.80271783044734,-7.23744770946505,2017-10-11T06:38:45.054,-43.15435,-0.3554685414,0.1036808416,-0.1263834685,0.9202823578
22 48 7.8,-5 15 24.1,2920.81404062199,-5010.79705758139,-4203.65372566129,-3.34648916661545,3.02335632804671,-5.93639346148516,2017-10-11T06:52:00.054,-44.10883,-0.363856554,0.1005323902,-0.1276008487,0.9171802822
22 47 57.8,-5 12 8.3,2515.63000357116,-4627.35269901637,-4854.00927929255,-3.68593965781817,3.62430436280319,-5.37156059347978,2017-10-11T06:53:55.055,-44.12941,-0.364060998,0.1002552509,-0.1281073242,0.9170588792
22 47 47.3,-5 08 50.6,2074.46657852987,-4177.72067083485,-5434.73695493515,-3.97267069956177,4.17363999376455,-4.72880533048464,2017-10-11T06:55:50.054,-44.14994,-0.3642653227,0.099978067,-0.1286137551,0.9169371095
22 47 36.8,-5 05 26.9,1603.63897656297,-3668.35260034503,-5937.56364107367,-4.20254941625577,4.66318905081237,-4.01858000210486,2017-10-11T06:57:45.054,-44.17043,-0.3644694686,0.0997008458,-0.1291201413,0.916814996
22 45 6.1,-6 35 19.7,3.88260128885872,1746.33318087031,6934.98276337034,4.53132930980658,-5.7462952282999,1.45668319881521,2017-10-11T07:54:00.054,-42.89563,-0.3514867723,0.1121588722,-0.1304043531,0.9202565626
22 45 18.5,-6 35 41.9,523.651669150272,1074.26801513286,7051.43672304579,4.49899237001067,-5.9231768046313,0.581914590904955,2017-10-11T07:55:55.055,-42.88981,-0.3514791131,0.1120538041,-0.1299750954,0.9203330118
22 45 30.4,-6 36 11.3,1035.91156232059,386.829734127165,7066.64448832297,4.40222544522353,-6.01506529536493,-0.301441750789993,2017-10-11T07:57:50.054,-42.88398,-0.3514713645,0.1119487211,-0.1295458078,0.9204092826
22 45 42.6,-6 36 36.1,1533.34419420753,-306.153006945118,6980.41976282883,4.24244232225121,-6.02045887373301,-1.18084420307027,2017-10-11T07:59:45.054,-42.87814,-0.3514635265,0.1118436158,-0.1291164905,0.9204853758
